姓名	语文	数学	英语	综合	班级
曹慧娟	82	60	140	243	A班
曹馨语	91	104	103	232	A班
陈佳玲	71	70	149	246	B班
陈书同	76	127	117	194	A班
陈笑白	75	85	105	269	A班
褚南莲	122	102	130	147	A班
褚亚萍	111	55	135	279	B班
褚忠娇	135	76	112	100	A班
戴迎春	79	117	64	224	B班
范娅	60	61	108	254	A班
范瑗	82	83	120	149	A班
冯福兰	92	95	109	162	A班
冯可	118	98	62	127	A班
谷粱欣	53	69	94	243	B班
顾安琪	67	132	62	216	B班
哈成龙	119	127	107	236	B班
韩娜	62	133	101	238	B班
何丹珍	97	76	120	179	A班
何恩珍	59	104	106	261	A班
何敏茹	82	114	137	113	A班
何瑞进	127	61	144	268	B班
华黄萍	50	89	69	110	A班
华灵竹	110	137	143	159	A班
华露	75	64	52	250	B班
华敏茹	128	90	124	125	A班
华娅	92	121	114	156	A班
华子彤	120	82	108	100	A班
姜凡	110	119	62	108	A班
姜欣悦	145	65	144	102	B班
蒋惠	50	94	69	129	A班
金静	79	89	137	210	A班
金娴	94	144	116	131	A班
郎秋	103	148	123	271	A班
李尔珍	73	125	129	212	B班
李静	74	136	51	202	A班
李淑芬	127	145	58	92	B班
栾厚菊	89	86	70	151	A班
戚涵菡	53	115	149	156	A班
戚香薇	102	120	127	273	A班
钱荔	96	103	63	200	B班
钱雅瑄	108	134	112	195	B班
谯胜敏	65	113	58	157	A班
秦惠	115	101	124	229	B班
秦山柳	114	103	143	239	A班
清风	132	122	98	290	A班
任有菊	122	93	99	108	B班
沈贞	116	59	53	187	B班
施景燕	97	139	136	106	B班
施雪	69	131	107	111	B班
水娴	118	139	56	201	B班
孙璧	114	109	136	169	B班
孙佳丽	65	89	138	246	B班
孙倩	97	77	104	191	B班
孙欣琪	78	127	113	125	A班
陶聪	129	92	100	99	B班
陶瑞进	92	137	144	247	B班
王艳红	92	100	83	100	B班
韦柔	59	86	74	101	A班
卫火英	92	108	135	202	A班
卫丽红	59	94	66	211	B班
卫琳	111	56	135	110	A班
卫水云	56	102	71	132	A班
卫惜雪	85	63	80	250	B班
卫心菲	135	69	97	104	B班
卫艳	84	54	86	178	A班
魏柳	116	115	149	198	A班
魏雁	72	65	113	104	A班
魏筠	117	109	53	138	A班
吴姬	118	74	99	270	A班
吴姚	138	64	149	184	A班
吴宗莉	142	124	64	181	A班
严程燕	103	72	100	183	A班
严杰	142	71	70	149	B班
严名媛	128	126	55	92	A班
严彤	84	127	77	271	B班
严武琴	74	88	92	157	B班
杨冰露	103	105	111	288	A班
杨春喜	146	103	108	237	A班
杨琦	105	66	55	232	B班
尤凡	124	126	114	255	B班
尤瑶	145	59	108	110	A班
尤雨祺	111	129	67	111	B班
于慧娟	96	69	139	225	A班
张灿怡	111	90	71	197	B班
张发弟	96	94	78	149	A班
张静雯	120	62	132	125	A班
张梅梅	127	51	104	102	A班
郑景燕	77	129	145	240	B班
郑千萍	116	118	79	237	B班
郑夏青	95	82	90	115	B班
郑滢	96	119	54	290	A班
郑远琴	120	124	135	116	A班
郑朱婷	121	91	136	157	B班
周景燕	69	83	60	99	B班
周静欣	147	150	73	173	A班
周露	117	117	98	150	A班
周秀娟	134	99	115	107	B班
朱成龙	114	144	138	223	A班
朱倩	115	149	123	147	B班
朱欣淼	56	98	50	270	A班
